orbit,scare,3,5,soare,punch,scare,guild,orbit
baggy,verso,2,5,soare,verso,clint,midgy,baggy
harpy,blaze,3,5,soare,clipt,harpy,zambo,blaze
trait,spoon,3,5,soare,clint,trait,snows,spoon
limbo,faith,4,5,soare,clint,lemel,limbo,faith
madly,panel,4,5,soare,clint,dampy,madly,panel
blunt,outdo,3,5,soare,clint,blunt,dirge,outdo
larva,chide,3,5,soare,culti,larva,lemel,chide
roast,ovoid,2,4,soare,roast,blind,ovoid
spend,femme,4,5,soare,clipt,bundh,femme,spend
vapid,mauve,4,5,soare,clint,adsum,vapid,mauve
fetus,icing,3,5,soare,mulct,fetus,lippy,icing
heady,total,3,5,soare,linty,total,dhows,heady
winch,pithy,4,5,soare,clint,fowth,winch,pithy
speak,learn,3,5,soare,dempt,speak,lippy,learn
baler,tabby,4,5,soare,talcy,bento,tabby,baler
tenth,glaze,3,5,soare,clint,tenth,zambo,glaze
vegan,quake,4,6,soare,glent,vehme,vegan,naira,quake
sheep,comet,4,5,soare,dwelt,miner,sheep,comet
salsa,jolly,4,6,soare,culty,dough,salsa,iftar,jolly
nanny,loath,3,6,soare,linty,loath,cling,naira,nanny
abled,macaw,4,5,soare,clint,debag,abled,macaw
ascot,tidal,3,5,soare,clint,ascot,varia,tidal
inbox,shunt,4,5,soare,clint,bothy,inbox,shunt
fecal,gooey,4,5,soare,dynel,cruft,fecal,gooey
toxic,gravy,4,5,soare,clint,toped,toxic,gravy
teeth,tiara,3,5,soare,dhuti,tiara,lemel,teeth
decay,fence,4,5,soare,clint,fetch,fence,decay
beast,craft,4,5,soare,flint,gandy,craft,beast
serum,cabin,3,4,soare,cutin,serum,cabin
manor,sieve,4,5,soare,paint,gandy,sieve,manor
guess,rebar,3,5,soare,culet,guess,debud,rebar
digit,grimy,4,5,soare,clint,metif,grimy,digit
decoy,tabby,4,5,soare,clint,boofy,tabby,decoy
hyper,bluff,4,5,soare,clint,fudgy,bluff,hyper
clump,rodeo,3,5,soare,mulct,clump,gooky,rodeo
tweet,silky,4,5,soare,clint,waked,silky,tweet
heard,scion,4,5,soare,aptly,choom,scion,heard
irony,trump,4,5,soare,guilt,hanch,trump,irony
usual,eying,3,5,soare,linty,eying,bayes,usual
share,grunt,4,5,soare,clint,burps,grunt,share
